Unnamed: 0,CustomerID,Gender,Location,Tenure_Months,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,GST,Offline_Spend,Online_Spend,Month,Coupon_Code,Discount_pct,Online_Perc,Quartile,Sale
60,13408.0,M,Chicago,30.0,16859.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
64,13767.0,F,Chicago,29.0,16869.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
72,17924.0,M,New Jersey,26.0,16888.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,28.78,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
73,13448.0,F,California,41.0,16890.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,122.77
76,15862.0,F,California,24.0,16907.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
112,15513.0,F,Chicago,21.0,16952.0,2019-01-03,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,122.77
115,12791.0,F,Washington DC,26.0,16957.0,2019-01-03,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,122.77
116,16218.0,M,Chicago,40.0,16958.0,2019-01-03,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,1576.38,1,ELEC10,10.0,25.94,2_Q,153.71
140,14307.0,F,California,28.0,16994.0,2019-01-04,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,2928.55,1,ELEC10,10.0,39.42,2_Q,153.71
156,17908.0,F,California,15.0,17023.0,2019-01-04,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,2928.55,1,ELEC10,10.0,39.42,2_Q,153.71
178,17920.0,F,California,18.0,17066.0,2019-01-04,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,4500.0,2928.55,1,ELEC10,10.0,39.42,2_Q,245.54
201,13065.0,F,Chicago,32.0,17949.0,2019-01-16,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,3000.0,3727.61,1,ELEC10,10.0,55.41,3_Q,153.71
202,14606.0,F,Chicago,33.0,17954.0,2019-01-16,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,3000.0,3727.61,1,ELEC10,10.0,55.41,3_Q,153.71
223,13576.0,M,New York,23.0,17988.0,2019-01-16,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,3000.0,3727.61,1,ELEC10,10.0,55.41,3_Q,307.42
226,18011.0,M,California,7.0,17996.0,2019-01-16,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Not Used,0.1,3000.0,3727.61,1,ELEC10,10.0,55.41,3_Q,81.5
236,13090.0,M,New Jersey,4.0,18011.0,2019-01-16,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,3000.0,3727.61,1,ELEC10,10.0,55.41,3_Q,245.54
239,15694.0,F,New York,41.0,18013.0,2019-01-16,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2.0,81.5,6.5,Clicked,0.1,3000.0,3727.61,1,ELEC10,10.0,55.41,3_Q,163.0
267,14741.0,M,California,32.0,18037.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,368.31
270,13715.0,M,California,23.0,18047.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,153.71
280,17732.0,F,Chicago,8.0,18057.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,153.71
288,12855.0,F,New York,33.0,18069.0,2019-01-17,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,245.54
291,15752.0,F,New York,27.0,18090.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,122.77
297,17855.0,F,New York,13.0,18103.0,2019-01-17,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,153.71
305,13941.0,F,New York,38.0,18117.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,122.77
310,17017.0,M,California,40.0,18124.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,122.77
319,14135.0,F,Chicago,21.0,18139.0,2019-01-17,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,3000.0,417.73,1,ELEC10,10.0,12.22,1_Q,122.77
339,15601.0,F,Chicago,46.0,18156.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,3000.0,1312.5,1,ELEC10,10.0,30.43,2_Q,153.71
360,13418.0,F,New York,22.0,18189.0,2019-01-18,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,3000.0,1312.5,1,ELEC10,10.0,30.43,2_Q,122.77
368,14766.0,M,New York,24.0,18198.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,3000.0,1312.5,1,ELEC10,10.0,30.43,2_Q,153.71
369,15658.0,M,Chicago,24.0,18200.0,2019-01-18,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Not Used,0.1,3000.0,1312.5,1,ELEC10,10.0,30.43,2_Q,368.31
374,14388.0,F,California,6.0,18240.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,3000.0,1312.5,1,ELEC10,10.0,30.43,2_Q,153.71
377,14901.0,F,Chicago,4.0,18249.0,2019-01-18,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,3000.0,1312.5,1,ELEC10,10.0,30.43,2_Q,153.71
390,14491.0,F,California,6.0,18455.0,2019-01-21,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Clicked,0.1,3000.0,640.93,1,ELEC10,10.0,17.6,1_Q,307.42
391,14060.0,F,Chicago,22.0,18458.0,2019-01-21,GGOENEBB079399,Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,2.0,81.5,6.5,Not Used,0.1,3000.0,640.93,1,ELEC10,10.0,17.6,1_Q,163.0
393,15923.0,F,Chicago,34.0,18460.0,2019-01-21,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4.0,81.5,6.5,Clicked,0.1,3000.0,640.93,1,ELEC10,10.0,17.6,1_Q,326.0
404,16752.0,M,New York,42.0,18476.0,2019-01-21,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,3000.0,640.93,1,ELEC10,10.0,17.6,1_Q,245.54
408,17287.0,F,Washington DC,45.0,18483.0,2019-01-21,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,3000.0,640.93,1,ELEC10,10.0,17.6,1_Q,122.77
443,15922.0,M,Chicago,29.0,18571.0,2019-01-22,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,122.77
444,15363.0,M,New York,32.0,18535.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,153.71
445,12915.0,F,Washington DC,3.0,18535.0,2019-01-22,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,81.5,6.5,Clicked,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,81.5
451,15544.0,M,Chicago,22.0,18545.0,2019-01-22,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,122.77
463,15738.0,M,New Jersey,16.0,18560.0,2019-01-22,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Used,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,245.54
465,16042.0,F,Chicago,16.0,18565.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,153.71
467,17381.0,M,New Jersey,17.0,18566.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,153.71
473,15827.0,F,Chicago,3.0,18573.0,2019-01-22,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,1049.73,1,ELEC10,10.0,51.21,3_Q,153.71
493,16510.0,F,California,39.0,18681.0,2019-01-24,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1000.0,560.02,1,ELEC10,10.0,35.9,2_Q,122.77
498,17802.0,F,California,13.0,18691.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,560.02,1,ELEC10,10.0,35.9,2_Q,153.71
500,15107.0,F,New York,20.0,18696.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,560.02,1,ELEC10,10.0,35.9,2_Q,153.71
502,17976.0,M,Washington DC,12.0,18698.0,2019-01-24,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1.0,102.13,6.5,Used,0.1,1000.0,560.02,1,ELEC10,10.0,35.9,2_Q,102.13
524,14449.0,M,New Jersey,39.0,18770.0,2019-01-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1000.0,560.02,1,ELEC10,10.0,35.9,2_Q,153.71
533,13138.0,F,California,21.0,18880.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,937.58,1,ELEC10,10.0,48.39,2_Q,153.71
535,17567.0,F,California,9.0,18882.0,2019-01-26,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1000.0,937.58,1,ELEC10,10.0,48.39,2_Q,122.77
537,15061.0,M,California,7.0,18888.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Used,0.1,1000.0,937.58,1,ELEC10,10.0,48.39,2_Q,307.42
563,16203.0,M,California,9.0,18943.0,2019-01-26,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Not Used,0.1,1000.0,937.58,1,ELEC10,10.0,48.39,2_Q,368.31
572,15640.0,F,California,30.0,18958.0,2019-01-26,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,937.58,1,ELEC10,10.0,48.39,2_Q,153.71
578,15311.0,F,Chicago,40.0,16748.0,2019-01-02,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,4500.0,3480.36,1,ELEC10,10.0,43.61,2_Q,153.71
591,16098.0,M,Chicago,49.0,16774.0,2019-01-02,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,4500.0,3480.36,1,ELEC10,10.0,43.61,2_Q,122.77
597,18074.0,F,California,10.0,16779.0,2019-01-02,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,3480.36,1,ELEC10,10.0,43.61,2_Q,153.71
607,17420.0,F,New York,19.0,16796.0,2019-01-02,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,3480.36,1,ELEC10,10.0,43.61,2_Q,153.71
609,16029.0,F,Washington DC,40.0,16798.0,2019-01-02,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Not Used,0.1,4500.0,3480.36,1,ELEC10,10.0,43.61,2_Q,245.54
614,16250.0,F,California,30.0,16803.0,2019-01-02,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,4500.0,3480.36,1,ELEC10,10.0,43.61,2_Q,122.77
630,14156.0,F,California,5.0,19128.0,2019-01-30,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,122.77
631,13402.0,M,Chicago,42.0,19133.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,122.77
635,18168.0,F,Chicago,5.0,19141.0,2019-01-30,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,205.3,6.5,Not Used,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,205.3
647,17757.0,F,New York,45.0,19146.0,2019-01-30,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,205.3,6.5,Clicked,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,205.3
658,16754.0,F,New Jersey,5.0,19169.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,122.77
659,16634.0,F,New York,33.0,19175.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,153.71
665,18239.0,M,New York,20.0,19183.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,122.77
675,14395.0,M,New Jersey,4.0,19222.0,2019-01-30,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,245.54
684,15093.0,M,California,46.0,19245.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,28.78,Clicked,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,153.71
693,12738.0,M,New York,42.0,19257.0,2019-01-30,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,700.0,981.86,1,ELEC10,10.0,58.38,3_Q,153.71
718,15838.0,F,Chicago,9.0,18806.0,2019-01-25,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,122.77
719,16781.0,F,New York,38.0,18809.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,153.71
731,17547.0,M,Chicago,41.0,18824.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,153.71
732,13491.0,F,Chicago,16.0,18825.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,153.71
737,16186.0,F,New York,18.0,18829.0,2019-01-25,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,122.77
740,17685.0,M,Washington DC,37.0,18837.0,2019-01-25,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,122.77
741,17581.0,M,California,25.0,18839.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,153.71
752,15732.0,F,Chicago,21.0,18867.0,2019-01-25,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,1000.0,1124.95,1,ELEC10,10.0,52.94,3_Q,153.71
770,12838.0,F,California,31.0,17127.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Not Used,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,153.71
782,13255.0,M,California,15.0,17157.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,153.71
787,16583.0,F,California,27.0,17161.0,2019-01-05,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,122.77
790,18085.0,M,Chicago,34.0,17168.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,153.71
792,13758.0,M,Washington DC,46.0,17172.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,153.71
798,13694.0,F,California,44.0,17183.0,2019-01-05,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,122.77
800,15983.0,M,New York,25.0,17194.0,2019-01-05,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,153.71
810,14849.0,F,New Jersey,45.0,17208.0,2019-01-05,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5.0,81.5,6.5,Clicked,0.1,4500.0,4055.3,1,ELEC10,10.0,47.4,2_Q,407.5
816,17968.0,M,New York,33.0,17219.0,2019-01-06,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4.0,153.71,6.5,Not Used,0.1,4500.0,3796.85,1,ELEC10,10.0,45.76,2_Q,614.84
835,16210.0,M,New York,49.0,17267.0,2019-01-06,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Clicked,0.1,4500.0,3796.85,1,ELEC10,10.0,45.76,2_Q,153.71
843,17897.0,M,Washington DC,19.0,17272.0,2019-01-06,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,3796.85,1,ELEC10,10.0,45.76,2_Q,153.71
861,17377.0,M,Chicago,34.0,17295.0,2019-01-06,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Used,0.1,4500.0,3796.85,1,ELEC10,10.0,45.76,2_Q,122.77
868,16552.0,F,California,27.0,17301.0,2019-01-07,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2.0,122.77,6.5,Clicked,0.1,4500.0,2579.52,1,ELEC10,10.0,36.44,2_Q,245.54
870,17181.0,F,New York,49.0,17305.0,2019-01-07,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,153.71,6.5,Not Used,0.1,4500.0,2579.52,1,ELEC10,10.0,36.44,2_Q,307.42
871,17951.0,F,Chicago,36.0,17308.0,2019-01-07,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Not Used,0.1,4500.0,2579.52,1,ELEC10,10.0,36.44,2_Q,122.77
875,14729.0,M,Washington DC,43.0,17313.0,2019-01-07,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,4500.0,2579.52,1,ELEC10,10.0,36.44,2_Q,153.71
911,15012.0,F,California,42.0,17372.0,2019-01-08,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3.0,122.77,6.5,Not Used,0.1,5000.0,2551.38,1,ELEC10,10.0,33.79,2_Q,368.31
928,12748.0,F,Chicago,28.0,18405.0,2019-01-20,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,153.71,6.5,Used,0.1,3000.0,2073.51,1,ELEC10,10.0,40.87,2_Q,153.71
